LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
59,7060000,0,0,90000,1850000,0,0.784444444,0,0,0.01,0.205555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021416574,0.019501207,0.007690418,0.249058908
60,7400000,0,0,0,1600000,0,0.822222222,0,0,0,0.177777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021564201,0.019501207,0.007690418,0.268255135
61,8210000,0,0,0,790000,0,0.912222222,0,0,0,0.087777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022954139,0.019501207,0.007690418,0.448991485
62,6880000,0,0,0,2120000,0,0.764444444,0,0,0,0.235555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.020671895,0.019501207,0.007690418,0.152226845
63,8000000,0,0,50000,950000,0,0.888888889,0,0,0.005555556,0.105555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022835898,0.019501207,0.007690418,0.433616378
64,0,9000000,0,0,0,0,0,1,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005130322,0.019501207,0.007690418,-1.868674218
65,7780000,0,0,0,1220000,0,0.864444444,0,0,0,0.135555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022216271,0.019501207,0.007690418,0.35304507
66,8050000,20000,0,0,930000,0,0.894444444,0.002222222,0,0,0.103333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022671282,0.019501207,0.007690418,0.412211038
67,2010000,6990000,0,0,0,0,0.223333333,0.776666667,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.009413729,0.019501207,0.007690418,-1.311694447
68,7660000,0,0,970000,370000,0,0.851111111,0,0,0.107777778,0.041111111,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.026707354,0.019501207,0.007690418,0.937029355
69,7610000,0,0,150000,1240000,0,0.845555556,0,0,0.016666667,0.137777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022650896,0.019501207,0.007690418,0.409560206
70,7920000,0,0,0,1080000,0,0.88,0,0,0,0.12,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022456507,0.019501207,0.007690418,0.384283425
71,7870000,0,0,660000,470000,0,0.874444444,0,0,0.073333333,0.052222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.025566605,0.019501207,0.007690418,0.788695537
72,8120000,0,0,0,880000,0,0.902222222,0,0,0,0.097777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022799702,0.019501207,0.007690418,0.428909741
73,7870000,0,0,0,1130000,0,0.874444444,0,0,0,0.125555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022370708,0.019501207,0.007690418,0.373126814
74,7910000,0,0,50000,1040000,0,0.878888889,0,0,0.005555556,0.115555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022681461,0.019501207,0.007690418,0.413534633
