LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
93,7840000,0,1090000,70000,0,0,0.871111111,0,0.121111111,0.007777778,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022037668,0.018776375,0.006133587,0.531710596
94,6740000,0,1520000,20000,720000,0,0.748888889,0,0.168888889,0.002222222,0.08,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020334648,0.018776375,0.006133587,0.254055758
95,8190000,0,0,0,810000,0,0.91,0,0,0,0.09,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022149357,0.018776375,0.006133587,0.549920007
96,8390000,0,0,0,610000,0,0.932222222,0,0,0,0.067777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022441944,0.018776375,0.006133587,0.597622439
97,7280000,420000,0,0,1300000,0,0.808888889,0.046666667,0,0,0.144444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020597564,0.018776375,0.006133587,0.296920727
98,7780000,0,510000,10000,700000,0,0.864444444,0,0.056666667,0.001111111,0.077777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021663077,0.018776375,0.006133587,0.470638498
99,7930000,0,0,0,1070000,0,0.881111111,0,0,0,0.118888889,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021768995,0.018776375,0.006133587,0.487907024
100,7370000,0,160000,280000,1190000,0,0.818888889,0,0.017777778,0.031111111,0.132222222,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021883302,0.018776375,0.006133587,0.506543266
101,3870000,900000,3740000,440000,50000,0,0.43,0.1,0.415555556,0.048888889,0.005555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.017378624,0.018776375,0.006133587,-0.227884774
102,6770000,50000,1590000,370000,220000,0,0.752222222,0.005555556,0.176666667,0.041111111,0.024444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021498552,0.018776375,0.006133587,0.443814878
103,7490000,0,0,0,1510000,0,0.832222222,0,0,0,0.167777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021125303,0.018776375,0.006133587,0.382961576
104,7500000,0,0,0,1500000,0,0.833333333,0,0,0,0.166666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021139933,0.018776375,0.006133587,0.385346803
105,7750000,0,0,0,1250000,0,0.861111111,0,0,0,0.138888889,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021505666,0.018776375,0.006133587,0.444974721
106,7110000,0,0,140000,1750000,0,0.79,0,0,0.015555556,0.194444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021023444,0.018776375,0.006133587,0.366354816
107,8000000,0,0,0,1000000,0,0.888888889,0,0,0,0.111111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.0218714,0.018776375,0.006133587,0.504602802
108,3160000,5840000,0,0,0,0,0.351111111,0.648888889,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.011724479,0.018776375,0.006133587,-1.149718171
109,60000,5830000,90000,0,0,0,0.010033445,0.974916388,0.015050167,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005714608,0.018776375,0.006133587,-2.129547978
110,4560000,2920000,580000,940000,0,0,0.506666667,0.324444444,0.064444444,0.104444444,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.018446624,0.018776375,0.006133587,-0.05376153
111,70000,8820000,0,110000,0,0,0.007777778,0.98,0,0.012222222,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005996107,0.018776375,0.006133587,-2.083653298
112,1900000,5740000,370000,990000,0,0,0.211111111,0.637777778,0.041111111,0.11,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.013203337,0.018776375,0.006133587,-0.908609976
113,990000,8010000,0,0,0,0,0.11,0.89,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.007410543,0.018776375,0.006133587,-1.853048256
114,5220000,3640000,50000,90000,0,0,0.58,0.404444444,0.005555556,0.01,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.016193086,0.018776375,0.006133587,-0.42117103
115,8200000,140000,170000,430000,60000,0,0.911111111,0.015555556,0.018888889,0.047777778,0.006666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023512107,0.018776375,0.006133587,0.772098331
116,7890000,0,0,420000,690000,0,0.876666667,0,0,0.046666667,0.076666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023072643,0.018776375,0.006133587,0.700449551
117,8440000,0,0,70000,490000,0,0.937777778,0,0,0.007777778,0.054444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022742119,0.018776375,0.006133587,0.646561994
118,7810000,10000,0,130000,1050000,0,0.867777778,0.001111111,0,0.014444444,0.116666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022009815,0.018776375,0.006133587,0.527169533
119,8960000,0,0,20000,20000,0,0.995555556,0,0,0.002222222,0.002222222,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023340682,0.018776375,0.006133587,0.744149757
120,8110000,0,0,120000,770000,0,0.901111111,0,0,0.013333333,0.085555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022421513,0.018776375,0.006133587,0.594291435
121,7600000,870000,120000,160000,250000,0,0.844444444,0.096666667,0.013333333,0.017777778,0.027777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021367429,0.018776375,0.006133587,0.422437011
122,6240000,2760000,0,0,0,0,0.693333333,0.306666667,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.017847485,0.018776375,0.006133587,-0.151443202
123,8220000,0,0,0,780000,0,0.913333333,0,0,0,0.086666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022193245,0.018776375,0.006133587,0.557075364
124,7820000,0,0,370000,810000,0,0.868888889,0,0,0.041111111,0.09,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022808075,0.018776375,0.006133587,0.657315246
125,6500000,0,0,470000,2030000,0,0.722222222,0,0,0.052222222,0.225555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021201327,0.018776375,0.006133587,0.395356281
126,8680000,60000,0,170000,90000,0,0.964444444,0.006666667,0,0.018888889,0.01,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023386045,0.018776375,0.006133587,0.751545593
127,8360000,0,0,30000,610000,0,0.928888889,0,0,0.003333333,0.067777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022495354,0.018776375,0.006133587,0.606330232
128,8430000,0,0,100000,470000,0,0.936666667,0,0,0.011111111,0.052222222,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022824787,0.018776375,0.006133587,0.660039916
129,8640000,0,0,0,360000,0,0.96,0,0,0,0.04,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022807678,0.018776375,0.006133587,0.65725052
130,7350000,0,0,20000,1630000,0,0.816666667,0,0,0.002222222,0.181111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020985358,0.018776375,0.006133587,0.360145399
131,8520000,0,0,20000,460000,0,0.946666667,0,0,0.002222222,0.051111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022696991,0.018776375,0.006133587,0.639204472
132,6770000,0,0,460000,1770000,0,0.752222222,0,0,0.051111111,0.196666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021563887,0.018776375,0.006133587,0.454466884
