OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
124,193,面,5197,2.778881,0,12000,9000000,124,2.778881,1.957003954,0.677545896,1.213020477
125,243,面,5201,2.643141,0,12000,9000000,125,2.643141,1.957003954,0.677545896,1.012679805
126,399,面,5221,2.72597,0,12000,9000000,126,2.72597,1.957003954,0.677545896,1.13492835
127,214,面,5256,2.568951,0,12000,9000000,127,2.568951,1.957003954,0.677545896,0.903181687
128,287,面,5363,2.738984,0,12000,9000000,128,2.738984,1.957003954,0.677545896,1.154135905
129,65,面,5380,0.821102,0,12000,9000000,129,0.821102,1.957003954,0.677545896,-1.67649448
130,225,面,5418,2.61942,0,12000,9000000,130,2.61942,1.957003954,0.677545896,0.97766963
131,484,面,5444,2.637952,0,12000,9000000,131,2.637952,1.957003954,0.677545896,1.005021283
132,154,面,5518,0.771849,0,12000,9000000,132,0.771849,1.957003954,0.677545896,-1.74918771
133,257,面,5542,2.44226,0,12000,9000000,133,2.44226,1.957003954,0.677545896,0.716196568
134,436,面,5607,2.329657,0,12000,9000000,134,2.329657,1.957003954,0.677545896,0.550004137
135,99,面,5609,3.077867,0,12000,9000000,135,3.077867,1.957003954,0.677545896,1.654298332
136,174,面,5656,2.031087,0,12000,9000000,136,2.031087,1.957003954,0.677545896,0.109340262
137,107,面,5685,2.611328,0,12000,9000000,137,2.611328,1.957003954,0.677545896,0.965726528
138,280,面,5705,2.409503,0,12000,9000000,138,2.409503,1.957003954,0.677545896,0.667850028
139,250,面,5720,2.701488,0,12000,9000000,139,2.701488,1.957003954,0.677545896,1.098795004
140,446,面,5740,0.856544,0,12000,9000000,140,0.856544,1.957003954,0.677545896,-1.624185108
141,101,面,5746,2.421145,1500,6966.324162,1418008.824,141,2.421145,1.957003954,0.677545896,0.685032628
142,201,面,5798,2.723117,0,12000,9000000,142,2.723117,1.957003954,0.677545896,1.130717565
143,91,面,5804,0.935395,0,12000,9000000,143,0.935395,1.957003954,0.677545896,-1.507807752
144,463,面,5811,2.722774,0,12000,9000000,144,2.722774,1.957003954,0.677545896,1.130211326
145,421,面,5814,0.920969,0,12000,9000000,145,0.920969,1.957003954,0.677545896,-1.529099299
146,361,面,5821,2.533476,0,12000,9000000,146,2.533476,1.957003954,0.677545896,0.850823611
147,312,面,5839,2.548962,0,12000,9000000,147,2.548962,1.957003954,0.677545896,0.873679627
148,151,面,5857,2.125993,0,12000,9000000,148,2.125993,1.957003954,0.677545896,0.24941343
149,262,面,5873,2.471381,0,12000,9000000,149,2.471381,1.957003954,0.677545896,0.759176683
150,228,面,5905,2.432984,0,12000,9000000,150,2.432984,1.957003954,0.677545896,0.702505983
151,126,面,5912,2.363595,0,12000,9000000,151,2.363595,1.957003954,0.677545896,0.600093732
152,208,面,5927,2.494408,0,12000,9000000,152,2.494408,1.957003954,0.677545896,0.793162572
153,369,面,5932,2.465636,0,12000,9000000,153,2.465636,1.957003954,0.677545896,0.750697552
154,180,面,5933,2.465308,0,12000,9000000,154,2.465308,1.957003954,0.677545896,0.750213452
155,419,面,5942,0.924596,0,12000,9000000,155,0.924596,1.957003954,0.677545896,-1.523746156
156,181,面,6074,2.402138,0,12000,9000000,156,2.402138,1.957003954,0.677545896,0.656979916
157,37,面,6148,2.659262,0,12000,9000000,157,2.659262,1.957003954,0.677545896,1.036473027
158,109,面,6172,2.514391,0,12000,9000000,158,2.514391,1.957003954,0.677545896,0.822655777
159,86,面,6213,2.502804,0,12000,9000000,159,2.502804,1.957003954,0.677545896,0.805554353
160,140,面,6224,2.057421,0,12000,9000000,160,2.057421,1.957003954,0.677545896,0.148207002
161,461,面,6232,2.372611,0,12000,9000000,161,2.372611,1.957003954,0.677545896,0.61340058
162,270,面,6243,2.188001,0,12000,9000000,162,2.188001,1.957003954,0.677545896,0.340931953
163,129,面,6248,2.30369,0,12000,9000000,163,2.30369,1.957003954,0.677545896,0.511679058
164,468,面,6286,2.180683,0,12000,9000000,164,2.180683,1.957003954,0.677545896,0.330131209
165,79,面,6302,2.194012,0,12000,9000000,165,2.194012,1.957003954,0.677545896,0.349803677
