LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9328,0.602218,0.02146,1.955770553,0.67912856,-1.993072643,0.01859694,0.007131405,0.401472048,LOW,HIGH,LOWHIGH,3,2
9329,2.12972,0.02183,1.955770553,0.67912856,0.256136256,0.01859694,0.007131405,0.453355231,HIGH,HIGH,HIGHHIGH,1,1
9330,2.04386,0.020954,1.955770553,0.67912856,0.129709531,0.01859694,0.007131405,0.330518289,HIGH,HIGH,HIGHHIGH,1,1
9331,2.18924,0.020955,1.955770553,0.67912856,0.343777983,0.01859694,0.007131405,0.330658514,HIGH,HIGH,HIGHHIGH,1,1
9332,2.11429,0.014009,1.955770553,0.67912856,0.233415963,0.01859694,0.007131405,-0.643343085,HIGH,LOW,HIGHLOW,2,4
9333,2.17627,0.021781,1.955770553,0.67912856,0.324679979,0.01859694,0.007131405,0.446484215,HIGH,HIGH,HIGHHIGH,1,1
9334,2.3308,0.022463,1.955770553,0.67912856,0.552221581,0.01859694,0.007131405,0.542117542,HIGH,HIGH,HIGHHIGH,1,1
9335,2.2205,0.021328,1.955770553,0.67912856,0.38980756,0.01859694,0.007131405,0.382962371,HIGH,HIGH,HIGHHIGH,1,1
9336,2.02845,0.016896,1.955770553,0.67912856,0.107018687,0.01859694,0.007131405,-0.23851403,HIGH,LOW,HIGHLOW,2,4
9337,1.90689,0.019137,1.955770553,0.67912856,-0.071975405,0.01859694,0.007131405,0.075729791,LOW,HIGH,LOWHIGH,3,2
9338,2.04627,0.021327,1.955770553,0.67912856,0.133258196,0.01859694,0.007131405,0.382822146,HIGH,HIGH,HIGHHIGH,1,1
9339,2.28777,0.018692,1.955770553,0.67912856,0.48886097,0.01859694,0.007131405,0.013329746,HIGH,HIGH,HIGHHIGH,1,1
9340,2.17928,0.009253,1.955770553,0.67912856,0.32911213,0.01859694,0.007131405,-1.310252328,HIGH,LOW,HIGHLOW,2,4
