LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1876,2.01527,0.02174,1.931347933,0.690740706,0.12149576,0.019480712,0.007712507,0.292938197,HIGH,HIGH,HIGHHIGH,1,1
1877,2.116,0.022673,1.931347933,0.690740706,0.267324721,0.019480712,0.007712507,0.413910538,HIGH,HIGH,HIGHHIGH,1,1
1878,2.03538,0.0216,1.931347933,0.690740706,0.150609434,0.019480712,0.007712507,0.274785862,HIGH,HIGH,HIGHHIGH,1,1
1879,2.16299,0.021822,1.931347933,0.690740706,0.335353143,0.019480712,0.007712507,0.303570278,HIGH,HIGH,HIGHHIGH,1,1
1880,2.05121,0.023046,1.931347933,0.690740706,0.173526861,0.019480712,0.007712507,0.462273543,HIGH,HIGH,HIGHHIGH,1,1
1881,1.94277,0.019745,1.931347933,0.690740706,0.016535969,0.019480712,0.007712507,0.034267434,HIGH,HIGH,HIGHHIGH,1,1
1882,2.03823,0.021444,1.931347933,0.690740706,0.15473544,0.019480712,0.007712507,0.254558976,HIGH,HIGH,HIGHHIGH,1,1
1883,2.06271,0.022684,1.931347933,0.690740706,0.190175656,0.019480712,0.007712507,0.415336793,HIGH,HIGH,HIGHHIGH,1,1
1884,2.05762,0.020051,1.931347933,0.690740706,0.182806755,0.019480712,0.007712507,0.07394325,HIGH,HIGH,HIGHHIGH,1,1
1885,0.69385,0.016667,1.931347933,0.690740706,-1.791552058,0.019480712,0.007712507,-0.3648246,LOW,LOW,LOWLOW,4,3
1886,2.3582,0.021461,1.931347933,0.690740706,0.617962809,0.019480712,0.007712507,0.256763188,HIGH,HIGH,HIGHHIGH,1,1
1887,2.16454,0.018647,1.931347933,0.690740706,0.337597111,0.019480712,0.007712507,-0.10809873,HIGH,LOW,HIGHLOW,2,4
1888,2.27815,0.021083,1.931347933,0.690740706,0.502072723,0.019480712,0.007712507,0.207751885,HIGH,HIGH,HIGHHIGH,1,1
1889,2.28618,0.021302,1.931347933,0.690740706,0.513697924,0.019480712,0.007712507,0.236147322,HIGH,HIGH,HIGHHIGH,1,1
1890,2.28467,0.018527,1.931347933,0.690740706,0.511511865,0.019480712,0.007712507,-0.123657874,HIGH,LOW,HIGHLOW,2,4
1891,2.32827,0.021596,1.931347933,0.690740706,0.574632512,0.019480712,0.007712507,0.274267224,HIGH,HIGH,HIGHHIGH,1,1
1892,2.34361,0.021511,1.931347933,0.690740706,0.596840556,0.019480712,0.007712507,0.263246164,HIGH,HIGH,HIGHHIGH,1,1
1893,2.17912,0.020998,1.931347933,0.690740706,0.358704887,0.019480712,0.007712507,0.196730825,HIGH,HIGH,HIGHHIGH,1,1
1894,2.14333,0.021642,1.931347933,0.690740706,0.306890943,0.019480712,0.007712507,0.280231563,HIGH,HIGH,HIGHHIGH,1,1
1895,2.34111,0.021226,1.931347933,0.690740706,0.593221253,0.019480712,0.007712507,0.226293198,HIGH,HIGH,HIGHHIGH,1,1
1896,2.30229,0.022313,1.931347933,0.690740706,0.537020714,0.019480712,0.007712507,0.367233107,HIGH,HIGH,HIGHHIGH,1,1
1897,2.31116,0.021043,1.931347933,0.690740706,0.549862001,0.019480712,0.007712507,0.202565504,HIGH,HIGH,HIGHHIGH,1,1
1898,2.11152,0.021354,1.931347933,0.690740706,0.26083893,0.019480712,0.007712507,0.242889618,HIGH,HIGH,HIGHHIGH,1,1
1899,2.23691,0.021092,1.931347933,0.690740706,0.442368698,0.019480712,0.007712507,0.208918821,HIGH,HIGH,HIGHHIGH,1,1
1900,2.13755,0.021913,1.931347933,0.690740706,0.298523114,0.019480712,0.007712507,0.315369295,HIGH,HIGH,HIGHHIGH,1,1
1901,2.15274,0.02177,1.931347933,0.690740706,0.320514,0.019480712,0.007712507,0.296827982,HIGH,HIGH,HIGHHIGH,1,1
1902,2.17193,0.018245,1.931347933,0.690740706,0.348295771,0.019480712,0.007712507,-0.160221861,HIGH,LOW,HIGHLOW,2,4
1903,2.21119,0.022125,1.931347933,0.690740706,0.405133307,0.019480712,0.007712507,0.342857116,HIGH,HIGH,HIGHHIGH,1,1
1904,2.49455,0.022079,1.931347933,0.690740706,0.815359602,0.019480712,0.007712507,0.336892777,HIGH,HIGH,HIGHHIGH,1,1
1905,2.13483,0.022199,1.931347933,0.690740706,0.294585313,0.019480712,0.007712507,0.352451921,HIGH,HIGH,HIGHHIGH,1,1
1906,2.21646,0.021878,1.931347933,0.690740706,0.412762798,0.019480712,0.007712507,0.310831212,HIGH,HIGH,HIGHHIGH,1,1
1907,2.13183,0.021015,1.931347933,0.690740706,0.290242149,0.019480712,0.007712507,0.198935037,HIGH,HIGH,HIGHHIGH,1,1
1908,2.25188,0.019504,1.931347933,0.690740706,0.464041085,0.019480712,0.007712507,0.003019487,HIGH,HIGH,HIGHHIGH,1,1
1909,2.22293,0.020525,1.931347933,0.690740706,0.422129555,0.019480712,0.007712507,0.135401867,HIGH,HIGH,HIGHHIGH,1,1
1910,2.1567,0.0205,1.931347933,0.690740706,0.326246976,0.019480712,0.007712507,0.132160379,HIGH,HIGH,HIGHHIGH,1,1
1911,2.10629,0.021201,1.931347933,0.690740706,0.253267348,0.019480712,0.007712507,0.22305171,HIGH,HIGH,HIGHHIGH,1,1
1912,2.20064,0.021272,1.931347933,0.690740706,0.389859848,0.019480712,0.007712507,0.232257536,HIGH,HIGH,HIGHHIGH,1,1
1913,0.513954,0.020449,1.931347933,0.690740706,-2.051991321,0.019480712,0.007712507,0.125547743,LOW,HIGH,LOWHIGH,3,2
1914,1.7702,0.022235,1.931347933,0.690740706,-0.233297288,0.019480712,0.007712507,0.357119664,LOW,HIGH,LOWHIGH,3,2
1915,0.526609,0.025258,1.931347933,0.690740706,-2.033670408,0.019480712,0.007712507,0.749080424,LOW,HIGH,LOWHIGH,3,2
1916,2.20747,0.021801,1.931347933,0.690740706,0.399747784,0.019480712,0.007712507,0.300847428,HIGH,HIGH,HIGHHIGH,1,1
