LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
3426,2.34901,0.02094,1.950166924,0.682104078,0.584724661,0.01832996,0.00692192,0.366373225,HIGH,HIGH,HIGHHIGH,1,1
3427,0.504308,0.020826,1.950166924,0.682104078,-2.119704265,0.01832996,0.00692192,-0.301859329,LOW,HIGH,LOWHIGH,3,2
3428,2.19563,0.020296,1.950166924,0.682104078,0.359861616,0.01832996,0.00692192,0.399635096,HIGH,HIGH,HIGHHIGH,1,1
3429,2.12527,0.020135,1.950166924,0.682104078,0.256710203,0.01832996,0.00692192,0.487902663,HIGH,HIGH,HIGHHIGH,1,1
3430,0.575819,0.020885,1.950166924,0.682104078,-2.014865425,0.01832996,0.00692192,0.120895655,LOW,HIGH,LOWHIGH,3,2
3431,0.525109,0.01626,1.950166924,0.682104078,-2.089208919,0.01832996,0.00692192,0.457358391,LOW,LOW,LOWLOW,4,3
3432,0.492273,0.021115,1.950166924,0.682104078,-2.1373482,0.01832996,0.00692192,0.181289162,LOW,HIGH,LOWHIGH,3,2
3433,2.0727,0.021726,1.950166924,0.682104078,0.179639853,0.01832996,0.00692192,-0.304182239,HIGH,HIGH,HIGHHIGH,1,1
3434,2.04834,0.019186,1.950166924,0.682104078,0.143926828,0.01832996,0.00692192,0.55991029,HIGH,HIGH,HIGHHIGH,1,1
3435,1.86029,0.021515,1.950166924,0.682104078,-0.131764238,0.01832996,0.00692192,0.576139892,LOW,HIGH,LOWHIGH,3,2
3436,2.01172,0.019604,1.950166924,0.682104078,0.090240006,0.01832996,0.00692192,0.988742634,HIGH,HIGH,HIGHHIGH,1,1
3437,1.97733,0.016244,1.950166924,0.682104078,0.03982248,0.01832996,0.00692192,-0.322477453,HIGH,LOW,HIGHLOW,2,4
3438,2.20827,0.022225,1.950166924,0.682104078,0.378392513,0.01832996,0.00692192,0.050854968,HIGH,HIGH,HIGHHIGH,1,1
3439,2.09405,0.022337,1.950166924,0.682104078,0.210940061,0.01832996,0.00692192,-0.425871894,HIGH,HIGH,HIGHHIGH,1,1
3440,0.387582,0.025193,1.950166924,0.682104078,-2.290830642,0.01832996,0.00692192,0.067470446,LOW,HIGH,LOWHIGH,3,2
3441,1.64368,0.016117,1.950166924,0.682104078,-0.449325746,0.01832996,0.00692192,0.483209601,LOW,LOW,LOWLOW,4,3
3442,1.95006,0.018701,1.950166924,0.682104078,-0.000156756,0.01832996,0.00692192,0.263452786,LOW,HIGH,LOWHIGH,3,2
3443,2.1907,0.015401,1.950166924,0.682104078,0.35263398,0.01832996,0.00692192,0.004754173,HIGH,LOW,HIGHLOW,2,4
3444,2.11793,0.018816,1.950166924,0.682104078,0.245949381,0.01832996,0.00692192,0.543650494,HIGH,HIGH,HIGHHIGH,1,1
3445,0.416555,0.021694,1.950166924,0.682104078,-2.24835472,0.01832996,0.00692192,0.582459526,LOW,HIGH,LOWHIGH,3,2
3446,0.414468,0.020173,1.950166924,0.682104078,-2.25141437,0.01832996,0.00692192,-1.801049962,LOW,HIGH,LOWHIGH,3,2
3447,2.03659,0.018382,1.950166924,0.682104078,0.126700718,0.01832996,0.00692192,0.550619081,HIGH,HIGH,HIGHHIGH,1,1
3448,2.00967,0.022112,1.950166924,0.682104078,0.0872346,0.01832996,0.00692192,-0.257837147,HIGH,HIGH,HIGHHIGH,1,1
3449,2.01018,0.022381,1.950166924,0.682104078,0.087982286,0.01832996,0.00692192,0.57384732,HIGH,HIGH,HIGHHIGH,1,1
3450,2.12448,0.005882,1.950166924,0.682104078,0.255552022,0.01832996,0.00692192,0.485579753,HIGH,LOW,HIGHLOW,2,4
3451,2.24466,0.022161,1.950166924,0.682104078,0.431742142,0.01832996,0.00692192,-1.744933447,HIGH,HIGH,HIGHHIGH,1,1
3452,1.99705,0.016564,1.950166924,0.682104078,0.068733024,0.01832996,0.00692192,0.392666654,HIGH,LOW,HIGHLOW,2,4
3453,2.04418,0.022321,1.950166924,0.682104078,0.137828052,0.01832996,0.00692192,0.501839549,HIGH,HIGH,HIGHHIGH,1,1
3454,2.01342,0.02171,1.950166924,0.682104078,0.092732294,0.01832996,0.00692192,0.109281391,HIGH,HIGH,HIGHHIGH,1,1
3455,1.64766,0.006271,1.950166924,0.682104078,-0.443490859,0.01832996,0.00692192,-0.369268809,LOW,LOW,LOWLOW,4,3
3456,2.0134,0.021067,1.950166924,0.682104078,0.092702973,0.01832996,0.00692192,0.462351514,HIGH,HIGH,HIGHHIGH,1,1
3457,1.80037,0.021823,1.950166924,0.682104078,-0.219610069,0.01832996,0.00692192,0.634731731,LOW,HIGH,LOWHIGH,3,2
3458,1.80054,0.019106,1.950166924,0.682104078,-0.21936084,0.01832996,0.00692192,-1.25649235,LOW,HIGH,LOWHIGH,3,2
3459,1.97483,0.015793,1.950166924,0.682104078,0.03615735,0.01832996,0.00692192,-1.158983415,HIGH,LOW,HIGHLOW,2,4
3460,1.91842,0.02155,1.950166924,0.682104078,-0.046542639,0.01832996,0.00692192,0.283493614,LOW,HIGH,LOWHIGH,3,2
3461,1.90884,0.022743,1.950166924,0.682104078,-0.060587416,0.01832996,0.00692192,0.316013206,LOW,HIGH,LOWHIGH,3,2
3462,2.13409,0.009652,1.950166924,0.682104078,0.269640781,0.01832996,0.00692192,0.503862398,HIGH,LOW,HIGHLOW,2,4
3463,0.394474,0.010327,1.950166924,0.682104078,-2.280726612,0.01832996,0.00692192,0.497193872,LOW,LOW,LOWLOW,4,3
3464,2.15028,0.020311,1.950166924,0.682104078,0.293376161,0.01832996,0.00692192,-0.169352878,HIGH,HIGH,HIGHHIGH,1,1
3465,1.89122,0.020537,1.950166924,0.682104078,-0.086419251,0.01832996,0.00692192,-0.665416861,LOW,HIGH,LOWHIGH,3,2
3466,0.353739,0.021837,1.950166924,0.682104078,-2.340446238,0.01832996,0.00692192,-0.898971582,LOW,HIGH,LOWHIGH,3,2
3467,2.0526,0.021791,1.950166924,0.682104078,0.150172209,0.01832996,0.00692192,-0.70581028,HIGH,HIGH,HIGHHIGH,1,1
3468,1.58517,0.017177,1.950166924,0.682104078,-0.535104444,0.01832996,0.00692192,-0.478366869,LOW,LOW,LOWLOW,4,3
3469,1.71929,0.013743,1.950166924,0.682104078,-0.33847756,0.01832996,0.00692192,0.56392435,LOW,LOW,LOWLOW,4,3
3470,1.75271,0.012127,1.950166924,0.682104078,-0.289482104,0.01832996,0.00692192,0.518099345,LOW,LOW,LOWLOW,4,3
3471,1.72902,0.013464,1.950166924,0.682104078,-0.324212874,0.01832996,0.00692192,-1.485578946,LOW,LOW,LOWLOW,4,3
3472,1.68615,0.015038,1.950166924,0.682104078,-0.387062521,0.01832996,0.00692192,0.350855709,LOW,LOW,LOWLOW,4,3
3473,1.82231,0.022253,1.950166924,0.682104078,-0.18744489,0.01832996,0.00692192,0.782286031,LOW,HIGH,LOWHIGH,3,2
3474,1.95765,0.021936,1.950166924,0.682104078,0.010970578,0.01832996,0.00692192,-1.720845909,HIGH,HIGH,HIGHHIGH,1,1
3475,2.15905,0.008066,1.950166924,0.682104078,0.306233437,0.01832996,0.00692192,-0.371544189,HIGH,LOW,HIGHLOW,2,4
3476,1.81026,0.020778,1.950166924,0.682104078,-0.205110816,0.01832996,0.00692192,-0.401106942,LOW,HIGH,LOWHIGH,3,2
3477,2.22027,0.023764,1.950166924,0.682104078,0.395985136,0.01832996,0.00692192,-0.464105507,HIGH,HIGH,HIGHHIGH,1,1
3478,2.16489,0.006438,1.950166924,0.682104078,0.31479518,0.01832996,0.00692192,-1.19847145,HIGH,LOW,HIGHLOW,2,4
3479,0.348942,0.015777,1.950166924,0.682104078,-2.347478889,0.01832996,0.00692192,-0.240064187,LOW,LOW,LOWLOW,4,3
3480,1.77413,0.015573,1.950166924,0.682104078,-0.258079272,0.01832996,0.00692192,-0.175843418,LOW,LOW,LOWLOW,4,3
3481,1.63057,0.015137,1.950166924,0.682104078,-0.468545687,0.01832996,0.00692192,0.476177881,LOW,LOW,LOWLOW,4,3
3482,0.462724,0.010053,1.950166924,0.682104078,-2.180668568,0.01832996,0.00692192,0.550619081,LOW,LOW,LOWLOW,4,3
3483,1.65081,0.016688,1.950166924,0.682104078,-0.438872796,0.01832996,0.00692192,-0.738551198,LOW,LOW,LOWLOW,4,3
3484,1.72335,0.017132,1.950166924,0.682104078,-0.332525389,0.01832996,0.00692192,0.548296171,LOW,LOW,LOWLOW,4,3
3485,2.00241,0.021645,1.950166924,0.682104078,0.076591063,0.01832996,0.00692192,0.406429888,HIGH,HIGH,HIGHHIGH,1,1
3486,2.08321,0.022161,1.950166924,0.682104078,0.195048058,0.01832996,0.00692192,0.455383071,HIGH,HIGH,HIGHHIGH,1,1
3487,0.491855,0.013237,1.950166924,0.682104078,-2.13796101,0.01832996,0.00692192,0.240534288,LOW,LOW,LOWLOW,4,3
3488,2.10617,0.022145,1.950166924,0.682104078,0.228708611,0.01832996,0.00692192,-0.437490202,HIGH,HIGH,HIGHHIGH,1,1
