LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
8298,2.33649,0.028192,2.160955403,0.664878439,0.26401006,0.018474349,0.006593987,1.473713826,HIGH,HIGH,HIGHHIGH,1,1
8299,1.84574,0.015112,2.160955403,0.664878439,-0.474094788,0.018474349,0.006593987,-0.509911413,LOW,LOW,LOWLOW,4,3
8300,2.46868,0.022289,2.160955403,0.664878439,0.462828359,0.018474349,0.006593987,0.578504362,HIGH,HIGH,HIGHHIGH,1,1
8301,2.32541,0.009453,2.160955403,0.664878439,0.24734536,0.018474349,0.006593987,-1.36811747,HIGH,LOW,HIGHLOW,2,4
8302,2.38818,0.016862,2.160955403,0.664878439,0.341753595,0.018474349,0.006593987,-0.244518128,HIGH,LOW,HIGHLOW,2,4
8303,2.23023,0.021338,2.160955403,0.664878439,0.104191372,0.018474349,0.006593987,0.434282068,HIGH,HIGH,HIGHHIGH,1,1
8304,2.24847,0.021938,2.160955403,0.664878439,0.131624958,0.018474349,0.006593987,0.525274052,HIGH,HIGH,HIGHHIGH,1,1
8305,0.509688,0.021148,2.160955403,0.664878439,-2.483562867,0.018474349,0.006593987,0.40546794,LOW,HIGH,LOWHIGH,3,2
8306,2.16443,0.020226,2.160955403,0.664878439,0.005225913,0.018474349,0.006593987,0.265643593,HIGH,HIGH,HIGHHIGH,1,1
8307,2.28219,0.021977,2.160955403,0.664878439,0.182340996,0.018474349,0.006593987,0.531188531,HIGH,HIGH,HIGHHIGH,1,1
8308,1.98576,0.02123,2.160955403,0.664878439,-0.263499901,0.018474349,0.006593987,0.417903511,LOW,HIGH,LOWHIGH,3,2
8309,2.29003,0.019744,2.160955403,0.664878439,0.194132625,0.018474349,0.006593987,0.192546699,HIGH,HIGH,HIGHHIGH,1,1
8310,2.41853,0.021104,2.160955403,0.664878439,0.387401037,0.018474349,0.006593987,0.398795195,HIGH,HIGH,HIGHHIGH,1,1
8311,2.44426,0.021375,2.160955403,0.664878439,0.42609984,0.018474349,0.006593987,0.439893241,HIGH,HIGH,HIGHHIGH,1,1
8312,2.29163,0.021828,2.160955403,0.664878439,0.19653908,0.018474349,0.006593987,0.508592188,HIGH,HIGH,HIGHHIGH,1,1
8313,1.96795,0.019238,2.160955403,0.664878439,-0.290286753,0.018474349,0.006593987,0.115810127,LOW,HIGH,LOWHIGH,3,2
8314,1.99006,0.0147,2.160955403,0.664878439,-0.257032554,0.018474349,0.006593987,-0.572392575,LOW,LOW,LOWLOW,4,3
8315,2.16597,0.020822,2.160955403,0.664878439,0.007542126,0.018474349,0.006593987,0.356028963,HIGH,HIGH,HIGHHIGH,1,1
8316,2.30247,0.022097,2.160955403,0.664878439,0.212842812,0.018474349,0.006593987,0.549386927,HIGH,HIGH,HIGHHIGH,1,1
8317,2.35987,0.018737,2.160955403,0.664878439,0.299174383,0.018474349,0.006593987,0.03983182,HIGH,HIGH,HIGHHIGH,1,1
8318,0.751928,0.01641,2.160955403,0.664878439,-2.11922559,0.018474349,0.006593987,-0.313065422,LOW,LOW,LOWLOW,4,3
8319,2.2539,0.021601,2.160955403,0.664878439,0.139791865,0.018474349,0.006593987,0.474166888,HIGH,HIGH,HIGHHIGH,1,1
8320,2.23886,0.01841,2.160955403,0.664878439,0.117171189,0.018474349,0.006593987,-0.009758811,HIGH,LOW,HIGHLOW,2,4
8321,2.34694,0.020475,2.160955403,0.664878439,0.279727219,0.018474349,0.006593987,0.303405266,HIGH,HIGH,HIGHHIGH,1,1
8322,2.16767,0.020497,2.160955403,0.664878439,0.010098984,0.018474349,0.006593987,0.306741638,HIGH,HIGH,HIGHHIGH,1,1
8323,2.55505,0.019457,2.160955403,0.664878439,0.592731804,0.018474349,0.006593987,0.1490222,HIGH,HIGH,HIGHHIGH,1,1
8324,2.20766,0.020491,2.160955403,0.664878439,0.070245317,0.018474349,0.006593987,0.305831719,HIGH,HIGH,HIGHHIGH,1,1
