OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
163,129,面,6248,2.288634,0,12000,9000000,163,2.288634,1.932565937,0.68923483,0.516613566
164,468,面,6286,2.175776,0,12000,9000000,164,2.175776,1.932565937,0.68923483,0.352869665
165,79,面,6302,2.189263,0,12000,9000000,165,2.189263,1.932565937,0.68923483,0.372437741
166,296,面,6322,2.434752,0,12000,9000000,166,2.434752,1.932565937,0.68923483,0.72861388
167,319,面,6467,2.528497,0,12000,9000000,167,2.528497,1.932565937,0.68923483,0.864627029
168,450,面,6474,2.226354,0,12000,9000000,168,2.226354,1.932565937,0.68923483,0.426252491
169,464,面,6474,2.226354,1500,8606.992347,2743800.788,169,2.226354,1.932565937,0.68923483,0.426252491
170,6,面,6584,2.156044,0,12000,9000000,170,2.156044,1.932565937,0.68923483,0.324240815
171,434,面,6591,2.205393,0,12000,9000000,171,2.205393,1.932565937,0.68923483,0.395840505
172,465,面,6735,2.245848,0,12000,9000000,172,2.245848,1.932565937,0.68923483,0.45453603
173,331,面,6798,2.154714,0,12000,9000000,173,2.154714,1.932565937,0.68923483,0.322311139
174,311,面,6800,2.238188,0,12000,9000000,174,2.238188,1.932565937,0.68923483,0.443422256
175,39,面,6817,2.143512,0,12000,9000000,175,2.143512,1.932565937,0.68923483,0.306058333
176,11,面,6840,2.257608,0,12000,9000000,176,2.257608,1.932565937,0.68923483,0.471598429
177,238,面,6896,2.177258,0,12000,9000000,177,2.177258,1.932565937,0.68923483,0.355019875
178,167,面,6903,1.790074,0,12000,9000000,178,1.790074,1.932565937,0.68923483,-0.206739315
179,420,面,6918,2.209563,0,12000,9000000,179,2.209563,1.932565937,0.68923483,0.401890693
180,486,面,6944,2.154055,0,12000,9000000,180,2.154055,1.932565937,0.68923483,0.321355006
181,346,面,6994,1.554397,0,12000,9000000,181,1.554397,1.932565937,0.68923483,-0.548679377
182,141,面,7010,2.402704,0,12000,9000000,182,2.402704,1.932565937,0.68923483,0.682115939
183,137,面,7071,2.150823,0,12000,9000000,183,2.150823,1.932565937,0.68923483,0.316665748
184,87,面,7073,2.284014,0,12000,9000000,184,2.284014,1.932565937,0.68923483,0.50991048
185,364,面,7076,2.25034,0,12000,9000000,185,2.25034,1.932565937,0.68923483,0.461053402
186,19,面,7092,2.114964,0,12000,9000000,186,2.114964,1.932565937,0.68923483,0.264638488
187,241,面,7097,2.127254,0,12000,9000000,187,2.127254,1.932565937,0.68923483,0.282469856
188,340,面,7107,2.24483,0,12000,9000000,188,2.24483,1.932565937,0.68923483,0.45305903
189,454,面,7137,2.259861,0,12000,9000000,189,2.259861,1.932565937,0.68923483,0.474867272
190,474,面,7144,1.875657,0,12000,9000000,190,1.875657,1.932565937,0.68923483,-0.082568284
191,178,面,7185,2.210917,0,12000,9000000,191,2.210917,1.932565937,0.68923483,0.40385519
192,435,面,7215,1.846906,0,12000,9000000,192,1.846906,1.932565937,0.68923483,-0.124282658
193,12,面,7303,2.260572,0,12000,9000000,193,2.260572,1.932565937,0.68923483,0.47589885
194,139,面,7322,1.643948,0,12000,9000000,194,1.643948,1.932565937,0.68923483,-0.418751236
195,306,面,7328,2.096613,0,12000,9000000,195,2.096613,1.932565937,0.68923483,0.23801331
196,460,面,7347,1.73052,0,12000,9000000,196,1.73052,1.932565937,0.68923483,-0.29314528
197,223,面,7406,1.836057,0,12000,9000000,197,1.836057,1.932565937,0.68923483,-0.140023302
198,146,面,7418,0.587889,0,12000,9000000,198,0.587889,1.932565937,0.68923483,-1.950970669
