var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,
52,X5,X11,0.134380397668259,0.00464983540339359,0.148991184505583,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
53,X5,X12,0.134380397668259,0.0227864254328275,0.154014208549984,"Enhance, bi-",,,,,,,,,,,,,,,,,
54,X5,X13,0.134380397668259,0.0108326682843293,0.159337419849342,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
55,X5,X14,0.134380397668259,0.0498177782921176,0.161522117269161,"Enhance, bi-",,,,,,,,,,,,,,,,,
56,X6,X7,0.0893923092066589,0.256672337415362,0.281394863023281,"Enhance, bi-",,,,,,,,,,,,,,,,,
57,X6,X8,0.0893923092066589,0.0124784227437257,0.0979955665784539,"Enhance, bi-",,,,,,,,,,,,,,,,,
58,X6,X9,0.0893923092066589,0.152565094541998,0.226465556710795,"Enhance, bi-",,,,,,,,,,,,,,,,,
59,X6,X10,0.0893923092066589,0.103207071008655,0.228698228547211,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
60,X6,X11,0.0893923092066589,0.00464983540339359,0.102926716585421,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
61,X6,X12,0.0893923092066589,0.0227864254328275,0.117547296894647,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
62,X6,X13,0.0893923092066589,0.0108326682843293,0.120570527871538,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
63,X6,X14,0.0893923092066589,0.0498177782921176,0.126702123008739,"Enhance, bi-",,,,,,,,,,,,,,,,,
64,X7,X8,0.256672337415362,0.0124784227437257,0.272013183548721,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
65,X7,X9,0.256672337415362,0.152565094541998,0.297376050422966,"Enhance, bi-",,,,,,,,,,,,,,,,,
66,X7,X10,0.256672337415362,0.103207071008655,0.358089562206884,"Enhance, bi-",,,,,,,,,,,,,,,,,
